NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
D0127520,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3673162,526889,04/02/2020 12:15:32 AM,04/02/2020 12:15:32 AM,04/02/2020 12:15:32 AM,04/02/2020 01:10:51 AM,NAT,Necessary Action Taken,Y,6K01,027XX S Claiborne Ave,70125,6,POINT (-90.09455382 29.94301248)
D0127620,62A,"BURGLAR ALARM, SILENT",2E,62A,"BURGLAR ALARM, SILENT",2E,3674520,527889,04/02/2020 12:16:04 AM,04/02/2020 12:16:41 AM,04/02/2020 12:18:44 AM,04/02/2020 12:30:21 AM,NAT,Necessary Action Taken,N,6L01,021XX S Claiborne Ave,70125,6,POINT (-90.09023454 29.9457222)
D0127720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3690017,523992,04/02/2020 12:16:14 AM,04/02/2020 12:16:14 AM,04/02/2020 12:16:14 AM,04/02/2020 12:37:34 AM,NAT,Necessary Action Taken,Y,4B01,Wall Blvd & L B Landry Ave,70114,4,POINT (-90.0414417 29.93453594)
D0127820,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3682646,531234,04/02/2020 12:16:37 AM,04/02/2020 12:16:37 AM,04/02/2020 12:16:37 AM,04/02/2020 12:44:24 AM,NAT,Necessary Action Taken,Y,8B02,004XX Blk N Peters St,70130,8,POINT (-90.06446138 29.95467618)
D0127920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3689818,533792,04/02/2020 12:18:52 AM,04/02/2020 12:18:52 AM,04/02/2020 12:18:52 AM,04/02/2020 12:57:53 AM,NAT,Necessary Action Taken,Y,5D01,034XX Chartres St,70117,5,POINT (-90.04172307 29.96148941)
D0128020,22R,RESIDENCE CHECK,1K,22R,RESIDENCE CHECK,1K,3669667,540046,04/02/2020 12:19:29 AM,04/02/2020 12:19:29 AM,04/02/2020 12:19:36 AM,04/02/2020 12:19:43 AM,NAT,Necessary Action Taken,N,3H01,046XX Iberville St,70119,3,POINT (-90.10514428 29.97929422)
D0128120,22R,RESIDENCE CHECK,1K,22R,RESIDENCE CHECK,1K,3672056,540848,04/02/2020 12:20:01 AM,04/02/2020 12:20:01 AM,04/02/2020 12:20:09 AM,04/02/2020 12:37:46 AM,NAT,Necessary Action Taken,N,3H02,042XX Saint Ann St,70119,3,POINT (-90.09757155 29.98142923)
D0128220,29,DEATH,1D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3683484,541608,04/02/2020 12:20:17 AM,04/02/2020 12:21:26 AM,04/02/2020 12:25:49 AM,04/02/2020 01:28:15 AM,RTF,REPORT TO FOLLOW,N,5K01,032XX Pauger St,70119,5,POINT (-90.06145128 29.98317476)
D0128320,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,3682643,527914,04/02/2020 12:20:46 AM,04/02/2020 12:20:46 AM,04/02/2020 12:20:46 AM,04/02/2020 12:29:17 AM,NAT,Necessary Action Taken,Y,8A02,007XX Convention Center Blvd,70130,8,POINT (-90.06458702 29.94554645)
D0128420,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3667369,550778,04/02/2020 12:22:25 AM,04/02/2020 12:22:25 AM,04/02/2020 12:22:30 AM,04/02/2020 01:29:30 AM,NAT,Necessary Action Taken,N,3F01,Milne Blvd & Lane St,70124,3,POINT (-90.11204106 30.00887095)
D0128520,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,3679883,530882,04/02/2020 12:23:35 AM,04/02/2020 12:23:35 AM,04/02/2020 12:23:35 AM,04/02/2020 04:09:30 AM,NAT,Necessary Action Taken,Y,8I01,Common St & Roosevelt Way,70112,8,POINT (-90.07319766 29.95379278)
D0128620,103,DISTURBANCE (OTHER),1C,103D,DOMESTIC DISTURBANCE,2C,3681731,540537,04/02/2020 12:23:46 AM,04/02/2020 12:24:44 AM,04/02/2020 12:28:15 AM,04/02/2020 02:19:57 AM,NAT,Necessary Action Taken,N,5K02,023XX A P Tureaud Ave,70119,5,POINT (-90.06702415 29.98028422)
D0128720,21,COMPLAINT OTHER,1J,22B,BUSINESS CHECK,1K,3704946,552974,04/02/2020 12:25:50 AM,04/02/2020 12:25:50 AM,04/02/2020 12:25:59 AM,04/02/2020 12:48:11 AM,NAT,Necessary Action Taken,N,7E01,079XX Chef Menteur Hwy,70126,7,POINT (-89.99324189 30.01375489)
D0128920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3671141,553805,04/02/2020 12:26:16 AM,04/02/2020 12:26:16 AM,04/02/2020 12:28:39 AM,04/02/2020 01:08:07 AM,NAT,Necessary Action Taken,N,3J04,General Haig St & Walker St,70124,3,POINT (-90.10002208 30.01708285)
D0129020,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3679680,543872,04/02/2020 12:26:31 AM,04/02/2020 12:26:31 AM,04/02/2020 12:27:06 AM,04/02/2020 12:36:24 AM,NAT,Necessary Action Taken,N,3L03,020XX Gentilly Blvd,70119,3,POINT (-90.07338556 29.98951643)
D0129120,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3702184,552394,04/02/2020 12:27:18 AM,04/02/2020 12:27:18 AM,04/02/2020 12:27:25 AM,04/02/2020 12:49:08 AM,NAT,Necessary Action Taken,N,7E01,073XX Chef Menteur Hwy,70126,7,POINT (-90.00198991 30.01224823)
D0129520,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1J,3683657,533910,04/02/2020 12:29:53 AM,04/02/2020 12:30:38 AM,04/02/2020 12:30:41 AM,04/02/2020 12:33:45 AM,NAT,Necessary Action Taken,N,8E02,Governor Nicholls St & Royal St,70116,8,POINT (-90.06117507 29.96200262)
D0129420,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3684245,547839,04/02/2020 12:29:53 AM,04/02/2020 12:29:53 AM,04/02/2020 12:29:53 AM,04/02/2020 01:39:21 AM,NAT,Necessary Action Taken,Y,3T01,032XX Gentilly Blvd,70122,3,POINT (-90.05882849 30.00028358)
D0129620,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668228,544167,04/02/2020 12:29:57 AM,04/02/2020 12:29:57 AM,04/02/2020 12:29:57 AM,04/02/2020 01:24:37 AM,NAT,Necessary Action Taken,Y,3I01,Hidalgo St & Canal Blvd,70124,3,POINT (-90.10955121 29.99066896)
D0129720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3670656,518751,04/02/2020 12:32:18 AM,04/02/2020 12:32:18 AM,04/02/2020 12:32:18 AM,04/02/2020 01:20:11 AM,NAT,Necessary Action Taken,Y,2B05,Magazine St & Jena St,70115,2,POINT (-90.10274377 29.92071241)
D0129820,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3680900,532917,04/02/2020 12:33:24 AM,04/02/2020 12:33:24 AM,04/02/2020 12:33:24 AM,04/02/2020 02:55:25 AM,NAT,Necessary Action Taken,Y,1E03,005XX N Rampart St,70112,1,POINT (-90.06991538 29.95935566)
D0129920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3669031,553997,04/02/2020 12:33:24 AM,04/02/2020 12:33:24 AM,04/02/2020 12:34:15 AM,04/02/2020 12:53:02 AM,NAT,Necessary Action Taken,N,3F02,Canal Blvd & Walker St,70124,3,POINT (-90.10668091 30.0176742)
D0130020,22R,RESIDENCE CHECK,1K,22R,RESIDENCE CHECK,1K,3669667,540046,04/02/2020 12:34:32 AM,04/02/2020 12:34:32 AM,04/02/2020 12:34:37 AM,04/02/2020 12:34:47 AM,NAT,Necessary Action Taken,N,3H01,046XX Iberville St,70119,3,POINT (-90.10514428 29.97929422)
D0130120,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3682722,536675,04/02/2020 12:35:07 AM,04/02/2020 12:38:38 AM,04/02/2020 12:42:44 AM,04/02/2020 12:50:48 AM,NAT,Necessary Action Taken,N,1A01,013XX Saint Bernard Ave,70116,1,POINT (-90.06402835 29.96963443)
D0130220,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3684057,547592,04/02/2020 12:36:33 AM,04/02/2020 12:36:33 AM,04/02/2020 12:36:37 AM,04/02/2020 12:57:40 AM,NAT,Necessary Action Taken,N,3Q04,Gentilly Blvd & Elysian Fields Ave,70122,3,POINT (-90.05943049 29.99961078)
D0130320,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3712821,558089,04/02/2020 12:37:18 AM,04/02/2020 12:37:18 AM,04/02/2020 12:37:29 AM,04/02/2020 01:49:18 AM,NAT,Necessary Action Taken,N,7I01,101XX Dwyer Rd,70127,7,POINT (-89.96817036 30.02756361)
D0130420,103,DISTURBANCE (OTHER),1C,21,COMPLAINT OTHER,1J,3684915,535823,04/02/2020 12:37:28 AM,04/02/2020 12:40:02 AM,04/02/2020 12:42:34 AM,04/02/2020 12:50:41 AM,NAT,Necessary Action Taken,N,8F03,009XX Elysian Fields Ave,70116,8,POINT (-90.0571356 29.96722343)
D0130520,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3696151,552356,04/02/2020 12:37:45 AM,04/02/2020 12:37:45 AM,04/02/2020 12:37:45 AM,04/02/2020 12:56:46 AM,NAT,Necessary Action Taken,Y,7C03,Approx Loc: 040XX Downman Rd,70126,7,POINT (-90.02105167 30.01233667)
D0130620,22R,RESIDENCE CHECK,1K,22R,RESIDENCE CHECK,1K,3674074,539269,04/02/2020 12:38:07 AM,04/02/2020 12:38:07 AM,04/02/2020 01:00:01 AM,04/02/2020 01:00:23 AM,NAT,Necessary Action Taken,N,1M01,008XX Wilson Dr,70119,1,POINT (-90.09125293 29.97702812)
D0130720,52,SIMPLE ARSON,1D,21,COMPLAINT OTHER,1J,3696405,539363,04/02/2020 12:38:08 AM,04/02/2020 12:38:08 AM,04/02/2020 12:38:08 AM,04/02/2020 02:10:58 AM,RTF,REPORT TO FOLLOW,Y,5I02,Jourdan Ave & N Rocheblave St,70117,5,POINT (-90.02071939 29.97660218)
D0130820,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3673741,525824,04/02/2020 12:38:47 AM,04/02/2020 12:38:47 AM,04/02/2020 12:38:47 AM,04/02/2020 01:32:26 AM,NAT,Necessary Action Taken,Y,6I01,Magnolia St & Washington Ave,None,6,POINT (-90.09276361 29.94006936)
D0130920,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3697139,526236,04/02/2020 12:38:47 AM,04/02/2020 12:40:04 AM,04/02/2020 12:46:34 AM,04/02/2020 01:02:14 AM,NAT,Necessary Action Taken,N,4K01,013XX Michael St,70114,4,POINT (-90.01887696 29.94048387)
D0131020,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3673193,526655,04/02/2020 12:40:22 AM,04/02/2020 12:40:22 AM,04/02/2020 12:40:22 AM,04/02/2020 01:10:41 AM,NAT,Necessary Action Taken,Y,6I02,Washington Ave & S Claiborne Ave,70125,6,POINT (-90.09446402 29.94236822)
D0131120,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3676772,519765,04/02/2020 12:41:39 AM,04/02/2020 12:41:39 AM,04/02/2020 12:41:39 AM,04/02/2020 01:13:20 AM,NAT,Necessary Action Taken,Y,6A04,Laurel St & 7th St,70115,6,POINT (-90.08340215 29.92331636)
D0131220,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3707684,518073,04/02/2020 12:42:01 AM,04/02/2020 12:42:01 AM,04/02/2020 12:42:01 AM,04/02/2020 01:44:32 AM,NAT,Necessary Action Taken,Y,4E03,Sullen Pl & Berkley Dr,70131,4,POINT (-89.98588776 29.91770096)
D0131320,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3705845,513255,04/02/2020 12:44:53 AM,04/02/2020 12:44:53 AM,04/02/2020 12:44:53 AM,04/02/2020 01:03:13 AM,NAT,Necessary Action Taken,Y,4D05,Woodland Dr & Tullis Dr,70131,4,POINT (-89.99187264 29.90451234)
D0131520,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,3687420,555666,04/02/2020 12:47:33 AM,04/02/2020 12:47:33 AM,04/02/2020 12:47:33 AM,04/02/2020 02:00:32 AM,NAT,Necessary Action Taken,Y,3R04,061XX Baccich St,70122,3,POINT (-90.04852019 30.02170891)
D0131620,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3706614,562223,04/02/2020 12:49:49 AM,04/02/2020 12:49:49 AM,04/02/2020 12:49:52 AM,04/02/2020 12:57:32 AM,NAT,Necessary Action Taken,N,7P03,092XX Morrison Rd,70127,7,POINT (-89.9876303 30.0391318)
D0131720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3708525,518010,04/02/2020 12:50:22 AM,04/02/2020 12:50:22 AM,04/02/2020 12:50:26 AM,04/02/2020 01:13:02 AM,NAT,Necessary Action Taken,N,4E04,Berkley Dr & Preston Pl,70131,4,POINT (-89.98323637 29.91750131)
D0131820,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3715738,555625,04/02/2020 12:50:24 AM,04/02/2020 12:50:24 AM,04/02/2020 12:50:29 AM,04/02/2020 01:39:48 AM,NAT,Necessary Action Taken,N,7J01,Chef Menteur Hwy & Papania Dr,None,7,POINT (-89.95904632 30.02069287)
D0131920,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3700531,557785,04/02/2020 12:52:54 AM,04/02/2020 12:56:32 AM,04/02/2020 12:59:25 AM,04/02/2020 01:51:15 AM,GOA,GONE ON ARRIVAL,N,7O01,Cove Dr & N I-10 Service Rd,70126,7,POINT (-90.00701612 30.02712581)
D0132020,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3675724,522362,04/02/2020 12:53:13 AM,04/02/2020 12:53:13 AM,04/02/2020 12:53:13 AM,04/02/2020 01:31:50 AM,NAT,Necessary Action Taken,Y,6D02,Conery St & Saint Charles Ave,70115,6,POINT (-90.08662306 29.9304895)
D0132120,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3669952,531802,04/02/2020 12:53:42 AM,04/02/2020 12:53:42 AM,04/02/2020 12:53:42 AM,04/02/2020 01:11:10 AM,NAT,Necessary Action Taken,Y,2V03,013XX S Jefferson Davis Pkwy,70125,2,POINT (-90.10452346 29.95661845)
D0132220,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3682758,553547,04/02/2020 12:53:51 AM,04/02/2020 12:53:51 AM,04/02/2020 12:57:58 AM,04/02/2020 01:38:59 AM,NAT,Necessary Action Taken,N,3R02,055XX Pasteur Blvd,70122,3,POINT (-90.06332422 30.01602612)
D0132320,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3683695,538876,04/02/2020 12:54:27 AM,04/02/2020 12:57:48 AM,04/02/2020 12:58:07 AM,04/02/2020 01:57:18 AM,GOA,GONE ON ARRIVAL,N,5A03,025XX Pauger St,70116,5,POINT (-90.06087904 29.9756568)
D0132520,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668385,554361,04/02/2020 12:58:22 AM,04/02/2020 12:58:22 AM,04/02/2020 12:58:27 AM,04/02/2020 01:28:28 AM,NAT,Necessary Action Taken,N,3F02,Louisville St & Conrad St,70124,3,POINT (-90.10871066 30.01869432)
D0132720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3672400,541124,04/02/2020 01:00:54 AM,04/02/2020 01:00:54 AM,04/02/2020 01:00:57 AM,04/02/2020 01:58:32 AM,NAT,Necessary Action Taken,N,3H02,Dumaine St & N Solomon St,70119,3,POINT (-90.09647686 29.98217714)
D0132820,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3680274,530400,04/02/2020 01:03:25 AM,04/02/2020 01:03:25 AM,04/02/2020 01:03:25 AM,04/02/2020 01:05:02 AM,NAT,Necessary Action Taken,Y,8I01,008XX Gravier St,70112,8,POINT (-90.0719778 29.95245443)
D0132920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3700650,511989,04/02/2020 01:04:07 AM,04/02/2020 01:04:07 AM,04/02/2020 01:04:07 AM,04/02/2020 01:34:38 AM,NAT,Necessary Action Taken,Y,4D05,Eugenie Ct & Tullis Dr,70131,4,POINT (-90.00831303 29.90119829)
D0133020,103F,FIGHT,2D,103F,FIGHT,2D,3710913,561578,04/02/2020 01:04:31 AM,04/02/2020 01:07:51 AM,04/02/2020 01:13:38 AM,04/02/2020 01:50:10 AM,GOA,GONE ON ARRIVAL,N,7I03,100XX S I-10 Service Rd,70127,7,POINT (-89.97406943 30.03722031)
D0133120,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3681015,530924,04/02/2020 01:05:11 AM,04/02/2020 01:05:11 AM,04/02/2020 01:05:11 AM,04/02/2020 01:59:17 AM,NAT,Necessary Action Taken,Y,8D01,001XX Bourbon St,70130,8,POINT (-90.06961942 29.95387431)
D0133220,62A,"BURGLAR ALARM, SILENT",2E,62A,"BURGLAR ALARM, SILENT",2E,3680222,527524,04/02/2020 01:05:41 AM,04/02/2020 01:06:22 AM,04/02/2020 01:07:26 AM,04/02/2020 01:18:36 AM,NAT,Necessary Action Taken,N,8H01,008XX Saint Charles Ave,70130,8,POINT (-90.07224318 29.94454699)
D0133320,22R,RESIDENCE CHECK,1K,22R,RESIDENCE CHECK,1K,3674503,534691,04/02/2020 01:06:42 AM,04/02/2020 01:07:02 AM,04/02/2020 01:07:05 AM,04/02/2020 01:19:06 AM,NAT,Necessary Action Taken,N,1L01,027XX Palmyra St,70119,1,POINT (-90.09005368 29.96442814)
D0133420,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3671193,550482,04/02/2020 01:08:21 AM,04/02/2020 01:08:21 AM,04/02/2020 01:08:28 AM,04/02/2020 01:38:39 AM,NAT,Necessary Action Taken,N,3J02,Orleans Ave & Lane St,70124,3,POINT (-90.09996903 30.00794476)
D0133520,62R,RESIDENCE BURGLARY,2A,62R,RESIDENCE BURGLARY,1E,3675867,525217,04/02/2020 01:08:45 AM,04/02/2020 01:10:18 AM,04/02/2020 01:12:36 AM,04/02/2020 01:41:38 AM,RTF,REPORT TO FOLLOW,N,6F03,022XX Philip St,70113,6,POINT (-90.08607382 29.93833709)
D0133620,56,SIMPLE CRIMINAL DAMAGE,1F,56,SIMPLE CRIMINAL DAMAGE,1F,3696865,552958,04/02/2020 01:09:21 AM,04/02/2020 03:03:22 AM,04/02/2020 03:05:35 AM,04/02/2020 04:44:32 AM,RTF,REPORT TO FOLLOW,N,7C03,045XX Skyview Dr,70126,7,POINT (-90.01877448 30.01396919)
D0133720,103,DISTURBANCE (OTHER),1C,63,PROWLER,2E,3681166,529725,04/02/2020 01:10:44 AM,04/02/2020 01:19:41 AM,04/02/2020 01:24:34 AM,04/02/2020 01:40:06 AM,NAT,Necessary Action Taken,N,8G04,003XX Camp St,70130,8,POINT (-90.06918609 29.95057202)
D0133820,966,DRUG VIOLATIONS,1I,966,DRUG VIOLATIONS,1I,3679883,530882,04/02/2020 01:12:52 AM,04/02/2020 01:12:52 AM,04/02/2020 01:12:52 AM,04/02/2020 04:09:35 AM,RTF,REPORT TO FOLLOW,Y,8I01,Common St & Roosevelt Way,70112,8,POINT (-90.07319766 29.95379278)
D0133920,103,DISTURBANCE (OTHER),2A,107,SUSPICIOUS PERSON,2C,3684934,535882,04/02/2020 01:14:25 AM,04/02/2020 01:17:11 AM,,04/02/2020 01:38:15 AM,VOI,VOID,N,8F03,009XX Elysian Fields Ave,70116,8,POINT (-90.05707294 29.96738758)
D0134020,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3685018,538277,04/02/2020 01:14:33 AM,04/02/2020 01:14:33 AM,04/02/2020 01:14:33 AM,04/02/2020 01:37:38 AM,NAT,Necessary Action Taken,Y,5G01,016XX Elysian Fields Ave,70117,5,POINT (-90.05672259 29.97396822)
D0134120,21N,NOISE COMPLAINT,1G,21N,NOISE COMPLAINT,1G,3700009,519761,04/02/2020 01:15:31 AM,04/02/2020 01:16:06 AM,,04/02/2020 01:20:41 AM,VOI,VOID,N,4D01,032XX Rue Parc Fontaine,70131,4,POINT (-90.01005162 29.92258854)
D0134220,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3679197,549646,04/02/2020 01:15:45 AM,04/02/2020 01:15:45 AM,04/02/2020 01:15:49 AM,04/02/2020 04:53:26 AM,NAT,Necessary Action Taken,N,3M04,046XX Paris Ave,70122,3,POINT (-90.07471359 30.00540813)
D0134320,911,SILENT 911 CALL,1A,911,SILENT 911 CALL,2F,3736473,559589,04/02/2020 01:16:30 AM,04/02/2020 02:26:09 AM,04/02/2020 02:37:40 AM,04/02/2020 03:04:52 AM,NAT,Necessary Action Taken,N,7M03,038XX Industrial Pkwy,70129,7,POINT (-89.89337368 30.03089138)
D0134420,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3662600,524180,04/02/2020 01:16:41 AM,04/02/2020 01:16:41 AM,04/02/2020 01:16:41 AM,04/02/2020 02:59:12 AM,NAT,Necessary Action Taken,Y,2D02,Broadway St & Dominican St,70118,2,POINT (-90.12799291 29.93587463)
D0134520,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3696138,518776,04/02/2020 01:18:28 AM,04/02/2020 01:18:28 AM,04/02/2020 01:18:28 AM,04/02/2020 01:35:24 AM,NAT,Necessary Action Taken,Y,4C02,035XX Garden Oaks Dr,70114,4,POINT (-90.0223077 29.92000282)
D0134620,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1J,3697703,533839,04/02/2020 01:18:42 AM,04/02/2020 01:20:20 AM,04/02/2020 01:22:33 AM,04/02/2020 01:34:52 AM,NAT,Necessary Action Taken,N,5E01,Saint Claude Ave & Flood St,70117,5,POINT (-90.0168231 29.96137113)
D0134720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3669423,523934,04/02/2020 01:19:05 AM,04/02/2020 01:19:05 AM,04/02/2020 01:19:05 AM,04/02/2020 02:44:25 AM,NAT,Necessary Action Taken,Y,2N03,Valence St & Freret St,70115,2,POINT (-90.10645876 29.93499832)
D0134820,62A,"BURGLAR ALARM, SILENT",2E,62A,"BURGLAR ALARM, SILENT",2E,3696113,553373,04/02/2020 01:19:42 AM,,,04/02/2020 01:29:18 AM,DUP,DUPLICATE,N,7C03,045XX Downman Rd,70126,7,POINT (-90.0211352 30.01513321)
D0134920,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3677370,525246,04/02/2020 01:20:02 AM,04/02/2020 01:20:02 AM,04/02/2020 01:20:02 AM,04/02/2020 01:31:53 AM,NAT,Necessary Action Taken,Y,6H01,Oretha Castle Haley Blvd & Saint Andrew St,70113,6,POINT (-90.08132685 29.93836995)
D0135020,21,COMPLAINT OTHER,1A,21,COMPLAINT OTHER,1J,3716930,569189,04/02/2020 01:20:19 AM,04/02/2020 01:36:48 AM,04/02/2020 01:48:33 AM,04/02/2020 02:25:57 AM,NAT,Necessary Action Taken,N,7K03,Morrison Rd & Gannon R,70128,7,POINT (-89.95476416 30.0579478)
D0135120,103D,DOMESTIC DISTURBANCE,2C,21,COMPLAINT OTHER,1J,3690040,538593,04/02/2020 01:21:33 AM,04/02/2020 01:38:10 AM,04/02/2020 01:42:32 AM,04/02/2020 03:15:29 AM,RTF,REPORT TO FOLLOW,N,5G04,031XX N Roman St,70117,5,POINT (-90.04085021 29.97468347)
D0135220,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3672712,533723,04/02/2020 01:21:36 AM,04/02/2020 01:22:13 AM,04/02/2020 01:23:42 AM,04/02/2020 03:16:40 AM,RTF,REPORT TO FOLLOW,N,1K01,007XX Blk S Gayoso St,70119,1,POINT (-90.09574278 29.96181794)
D0135320,63,PROWLER,2E,63,PROWLER,2E,3697330,520289,04/02/2020 01:22:17 AM,04/02/2020 01:23:12 AM,04/02/2020 01:26:33 AM,04/02/2020 02:49:55 AM,NAT,Necessary Action Taken,N,4J01,036XX General Degaulle Dr,70114,4,POINT (-90.0184903 29.92412691)
D0135520,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3669139,544374,04/02/2020 01:24:52 AM,04/02/2020 01:24:52 AM,04/02/2020 01:24:52 AM,04/02/2020 01:56:03 AM,NAT,Necessary Action Taken,Y,3I01,Pontalba St & General Diaz St,70124,3,POINT (-90.10666676 29.99121059)
D0135620,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3671372,526088,04/02/2020 01:25:12 AM,04/02/2020 01:25:12 AM,04/02/2020 01:25:12 AM,04/02/2020 01:48:43 AM,NAT,Necessary Action Taken,Y,2R01,041XX S Claiborne Ave,70125,2,POINT (-90.10023255 29.94086559)
D0135920,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3672275,534074,04/02/2020 01:29:27 AM,04/02/2020 01:29:27 AM,04/02/2020 01:29:27 AM,04/02/2020 01:56:31 AM,RTF,REPORT TO FOLLOW,Y,1K01,007XX S Lopez St,70119,1,POINT (-90.09711193 29.96279777)
D0136020,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3670962,551835,04/02/2020 01:29:39 AM,04/02/2020 01:29:39 AM,04/02/2020 01:29:45 AM,04/02/2020 01:38:56 AM,NAT,Necessary Action Taken,N,3J04,General Haig St & Filmore Ave,70124,3,POINT (-90.10065541 30.01167141)
D0136120,55,AGGRAVATED CRIMINAL DAMAGE,1D,94,DISCHARGING FIREARM,2D,3665831,537937,04/02/2020 01:31:07 AM,04/02/2020 01:33:51 AM,04/02/2020 01:41:56 AM,04/02/2020 04:53:02 AM,RTF,REPORT TO FOLLOW,N,3A02,039XX Hamilton St,70118,3,POINT (-90.11732978 29.97360781)
D0136220,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3677975,520556,04/02/2020 01:31:09 AM,04/02/2020 01:32:34 AM,04/02/2020 01:38:58 AM,04/02/2020 01:43:23 AM,GOA,GONE ON ARRIVAL,N,6A05,Laurel St & 3rd St,70130,6,POINT (-90.07957756 29.92545648)
D0136320,22R,RESIDENCE CHECK,1K,22R,RESIDENCE CHECK,1K,3674503,534691,04/02/2020 01:31:55 AM,04/02/2020 01:31:55 AM,04/02/2020 01:52:09 AM,04/02/2020 02:06:06 AM,NAT,Necessary Action Taken,N,1L01,027XX Palmyra St,70119,1,POINT (-90.09005368 29.96442814)
D0136420,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3667166,554552,04/02/2020 01:32:48 AM,04/02/2020 01:32:48 AM,04/02/2020 01:32:52 AM,04/02/2020 01:52:53 AM,NAT,Necessary Action Taken,N,3F02,Conrad St & Catina St,70124,3,POINT (-90.11255453 30.01925389)
D0136520,103D,DOMESTIC DISTURBANCE,2C,103,DISTURBANCE (OTHER),1C,3710871,567193,04/02/2020 01:33:16 AM,04/02/2020 01:49:28 AM,04/02/2020 01:59:49 AM,04/02/2020 02:35:29 AM,RTF,REPORT TO FOLLOW,N,7I14,079XX Mercier St,70128,7,POINT (-89.97398989 30.05265941)
D0136620,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3661461,522483,04/02/2020 01:33:45 AM,04/02/2020 01:33:45 AM,04/02/2020 01:33:45 AM,04/02/2020 02:08:49 AM,NAT,Necessary Action Taken,Y,2D02,Broadway St & Perrier St,70118,2,POINT (-90.13164313 29.93124128)
